iter	Passed	Remaining
0	0	79
1	1	82
2	1	75
3	1	72
4	2	70
5	2	71
6	3	70
7	3	69
8	4	68
9	4	67
10	5	66
11	5	65
12	6	65
13	6	64
14	7	64
15	7	64
16	8	64
17	8	63
18	8	61
19	9	61
20	9	60
21	10	60
22	10	59
23	11	60
24	11	59
25	12	59
26	12	58
27	13	57
28	13	57
29	14	56
30	14	56
31	15	55
32	15	55
33	16	54
34	16	54
35	17	53
36	17	53
37	17	52
38	18	52
39	18	51
40	19	51
41	19	50
42	20	50
43	20	50
44	21	49
45	21	49
46	22	48
47	22	48
48	23	47
49	23	47
50	24	46
51	24	46
52	25	46
53	25	45
54	26	45
55	26	44
56	27	44
57	27	43
58	28	43
59	28	42
60	28	42
61	29	41
62	29	41
63	30	40
64	31	40
65	31	40
66	31	39
67	32	39
68	32	38
69	33	37
70	33	37
71	34	36
72	34	36
73	35	35
74	35	35
75	35	35
76	36	34
77	36	34
78	37	33
79	38	33
80	38	32
81	39	32
82	39	31
83	40	31
84	40	30
85	40	30
86	41	29
87	41	29
88	42	28
89	42	28
90	43	28
91	43	27
92	44	27
93	44	26
94	45	26
95	45	25
96	46	25
97	46	24
98	46	24
99	47	23
100	47	23
101	48	22
102	48	22
103	49	21
104	49	21
105	50	20
106	50	20
107	51	19
108	51	19
109	52	18
110	52	18
111	53	18
112	53	17
113	53	17
114	54	16
115	54	16
116	55	15
117	55	15
118	56	14
119	56	14
120	57	13
121	57	13
122	58	12
123	58	12
124	59	11
125	59	11
126	60	10
127	60	10
128	61	9
129	61	9
130	62	9
131	62	8
132	63	8
133	63	7
134	64	7
135	64	6
136	64	6
137	65	5
138	65	5
139	66	4
140	66	4
141	67	3
142	67	3
143	68	2
144	68	2
145	69	1
146	69	1
147	70	0
148	70	0
149	71	0
